Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
The Legend of Sword and Fairy 3,1 million,2003-07-31,Role-playing game,Softstar Entertainment,Softstar Entertainment Unistar,PC
Hidden & Dangerous 2,1 million,2003-10-21,Action,Illusion Softworks,Take-Two Interactive,PC
Patrician III: Rise of the Hanse,1 million,2003-10-24,Business simulation,Ascaron,Encore,PC
Battlefield Vietnam,1 million,2004-03-14,First-person shooter,EA DICE,Electronic Arts,PC
Counter-Strike: Condition Zero,2 million,2004-03-23,First-person shooter,Valve Gearbox Software Ritual Entertainment Turtle Rock Studios,Valve (digital) Sierra Entertainment (retail),PC
Far Cry,2 million,2004-03-23,First-person shooter,Crytek,Ubisoft,PC
Sacred,1 million,2004-03-23,Action role-playing,Ascaron,Encore Koch Media Red Ant Enterprises,PC
The Sims 2,6 million,2004-09-14,Life simulation,Maxis,Electronic Arts,PC
"Warhammer 40,000: Dawn of War (including expansions)",4 million,2004-09-20,Real-time strategy,Relic Entertainment,THQ,PC
Rome: Total War,1 million,2004-09-22,Real-time strategy,The Creative Assembly,Activision,PC
RollerCoaster Tycoon 3,10 million,2004-10-26,Construction and management simulation,Frontier Developments,"Atari, Inc. (Windows) Aspyr Media (macOS)",PC
Counter-Strike: Source,2 million,2004-11-01,First-person shooter,Valve,Electronic Arts (retail) Valve (digital),PC
Half-Life 2,12.3 million,2004-11-16,First-person shooter,Valve,Valve (digital) Sierra Entertainment (retail),PC
World of Warcraft,14 million,2004-11-23,MMORPG,Blizzard Entertainment,Blizzard Entertainment,PC
Cossacks II: Napoleonic Wars,2 million,2005-04-15,Real-time strategy,GSC Game World,CDV Software,PC
Psychonauts,1 million,2005-04-19,Platform,Double Fine Productions,THQ,PC
Guild Wars,6 million,2005-04-28,MMORPG,ArenaNet,NCsoft,PC
Dungeon Lords,1 million,2005-05-05,Role-playing game,Heuristic Park,DreamCatcher Interactive,PC
Imperivm: Great Battles of Rome,1 million,2005-05-10,Real-time strategy,Haemimont Games,FX Interactive,PC
Age of Empires III,2 million,2005-10-18,Real-time strategy,Ensemble Studios,Microsoft,PC
Civilization IV,3 million,2005-10-25,"Turn-based strategy, 4X",Firaxis Games,2K Games & Aspyr,PC
Glory of the Roman Empire,1 million,2006-06-26,City-building game,Haemimont Games,CDV Software,PC
Microsoft Flight Simulator X,1 million,2006-10-17,Amateur flight simulation,Microsoft Game Studios,Microsoft Game Studios,PC
Garry's Mod,20 million,2006-11-29,Sandbox,Facepunch Studios,Valve,PC
Supreme Commander,1 million,2007-02-16,Real-time strategy,Gas Powered Games,THQ,PC
Command & Conquer 3: Tiberium Wars,1 million,2007-03-28,Real-time strategy,EA Los Angeles,Electronic Arts,PC
